fold,param_id,threshold,baseline_trades,trades,trade_ratio_vs_baseline,baseline_avg_cash_ratio,avg_cash_ratio,baseline_stop_time_trade_ratio,stop_time_trade_ratio,stop_time_ratio_reduction,total_return_with_cost,eligible,precision_bad_trade,recall_bad_trade,pr_auc,top_decile_bad_rate,filtered_trade_bad_rate,kept_trade_bad_rate,scored_samples,filtered_samples,selected
WF1,lgbm_01,0.5,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.8843457943925234,0.34645308924485124,0.8732500962833328,0.9019607843137255,0.8843457943925234,0.8434731246308328,2549,856,True
WF1,lgbm_01,0.55,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.8929712460063898,0.25583524027459953,0.8732500962833328,0.9019607843137255,0.8929712460063898,0.8455538221528861,2549,626,False
WF1,lgbm_01,0.6,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.9038031319910514,0.1848970251716247,0.8732500962833328,0.9019607843137255,0.9038031319910514,0.8472882968601332,2549,447,False
WF1,lgbm_01,0.65,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.9029126213592233,0.1276887871853547,0.8732500962833328,0.9019607843137255,0.9029126213592233,0.8508928571428571,2549,309,False
WF1,lgbm_01,0.7,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.8835978835978836,0.07643020594965676,0.8732500962833328,0.9019607843137255,0.8835978835978836,0.8550847457627119,2549,189,False
WF1,lgbm_02,0.5,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.877948717948718,0.3917620137299771,0.8712965005845364,0.9019607843137255,0.877948717948718,0.8443456162642948,2549,975,False
WF1,lgbm_02,0.55,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.9035874439461884,0.18443935926773455,0.8712965005845364,0.9019607843137255,0.9035874439461884,0.8473609129814551,2549,446,False
WF1,lgbm_02,0.6,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.90625,0.1194508009153318,0.8712965005845364,0.9019607843137255,0.90625,0.8509509066784608,2549,288,False
WF1,lgbm_02,0.65,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.8888888888888888,0.07688787185354691,0.8712965005845364,0.9019607843137255,0.8888888888888888,0.8546610169491525,2549,189,False
WF1,lgbm_02,0.7,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.8512396694214877,0.0471395881006865,0.8712965005845364,0.9019607843137255,0.8512396694214877,0.857495881383855,2549,121,False
WF1,lgbm_03,0.5,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.88259526261586,0.3922196796338673,0.8736414984078971,0.9058823529411765,0.88259526261586,0.8415716096324461,2549,971,False
WF1,lgbm_03,0.55,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.8945783132530121,0.27185354691075514,0.8736414984078971,0.9058823529411765,0.8945783132530121,0.8440318302387267,2549,664,False
WF1,lgbm_03,0.6,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.9106382978723404,0.19588100686498855,0.8736414984078971,0.9058823529411765,0.9106382978723404,0.8451178451178452,2549,470,False
WF1,lgbm_03,0.65,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.9153605015673981,0.13363844393592678,0.8736414984078971,0.9058823529411765,0.9153605015673981,0.8488789237668162,2549,319,False
WF1,lgbm_03,0.7,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.8817204301075269,0.07505720823798627,0.8736414984078971,0.9058823529411765,0.8817204301075269,0.8552687261955142,2549,186,False
WF1,lgbm_04,0.5,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.8914081145584726,0.34187643020594966,0.87215863061655,0.9058823529411765,0.8914081145584726,0.8404441846873174,2549,838,False
WF1,lgbm_04,0.55,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.8998242530755711,0.23432494279176203,0.87215863061655,0.9058823529411765,0.8998242530755711,0.8449494949494949,2549,569,False
WF1,lgbm_04,0.6,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.9040404040404041,0.16384439359267736,0.87215863061655,0.9058823529411765,0.9040404040404041,0.8485833720390153,2549,396,False
WF1,lgbm_04,0.65,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.8985507246376812,0.11350114416475973,0.87215863061655,0.9058823529411765,0.8985507246376812,0.8521777386713595,2549,276,False
WF1,lgbm_04,0.7,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.8877005347593583,0.07597254004576659,0.87215863061655,0.9058823529411765,0.8877005347593583,0.8547840812870449,2549,187,False
WF1,lgbm_05,0.5,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.8768558951965065,0.4594965675057208,0.8718121174310928,0.9019607843137255,0.8768558951965065,0.8411680911680912,2549,1145,False
WF1,lgbm_05,0.55,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.8941176470588236,0.2782608695652174,0.8718121174310928,0.9019607843137255,0.8941176470588236,0.8437667201712146,2549,680,False
WF1,lgbm_05,0.6,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.9025522041763341,0.1780320366132723,0.8718121174310928,0.9019607843137255,0.9025522041763341,0.8479697828139755,2549,431,False
WF1,lgbm_05,0.65,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.9077490774907749,0.11258581235697941,0.8718121174310928,0.9019607843137255,0.9077490774907749,0.8511852502194908,2549,271,False
WF1,lgbm_05,0.7,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.8888888888888888,0.07322654462242563,0.8718121174310928,0.9019607843137255,0.8888888888888888,0.8547910510764035,2549,180,False
WF1,lgbm_06,0.5,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.8732261116367077,0.42242562929061783,0.8704989281157989,0.9058823529411765,0.8732261116367077,0.8458445040214477,2549,1057,False
WF1,lgbm_06,0.55,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.8941717791411042,0.26681922196796337,0.8704989281157989,0.9058823529411765,0.8941717791411042,0.8444913020558777,2549,652,False
WF1,lgbm_06,0.6,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.9071428571428571,0.17437070938215102,0.8704989281157989,0.9058823529411765,0.9071428571428571,0.8473461719116956,2549,420,False
WF1,lgbm_06,0.65,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.9029535864978903,0.09794050343249427,0.8704989281157989,0.9058823529411765,0.9029535864978903,0.8525086505190311,2549,237,False
WF1,lgbm_06,0.7,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.87248322147651,0.059496567505720827,0.8704989281157989,0.9058823529411765,0.87248322147651,0.85625,2549,149,False
WF1,lgbm_07,0.5,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.8743500866551126,0.4617848970251716,0.8713047071671384,0.8980392156862745,0.8743500866551126,0.843010752688172,2549,1154,False
WF1,lgbm_07,0.55,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.8876560332871013,0.2929061784897025,0.8713047071671384,0.8980392156862745,0.8876560332871013,0.8451859956236324,2549,721,False
WF1,lgbm_07,0.6,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.89749430523918,0.18032036613272312,0.8713047071671384,0.8980392156862745,0.89749430523918,0.8488151658767773,2549,439,False
WF1,lgbm_07,0.65,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.8968253968253969,0.1034324942791762,0.8713047071671384,0.8980392156862745,0.8968253968253969,0.8528515454941228,2549,252,False
WF1,lgbm_07,0.7,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.877906976744186,0.06910755148741418,0.8713047071671384,0.8980392156862745,0.877906976744186,0.8557004627681952,2549,172,False
WF1,lgbm_08,0.5,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.882051282051282,0.47231121281464533,0.8740428945520046,0.9019607843137255,0.882051282051282,0.836113125453227,2549,1170,False
WF1,lgbm_08,0.55,5,4,0.8,0.9951949753452676,0.9957899266476099,0.8,0.75,0.06250000000000006,-0.0018220575648069115,True,0.8864628820960698,0.3716247139588101,0.8740428945520046,0.9019607843137255,0.8864628820960698,0.840783833435395,2549,916,False
WF1,lgbm_08,0.6,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.8871428571428571,0.28421052631578947,0.8740428945520046,0.9019607843137255,0.8871428571428571,0.8458626284478096,2549,700,False
WF1,lgbm_08,0.65,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.8969258589511754,0.22700228832951946,0.8740428945520046,0.9019607843137255,0.8969258589511754,0.8461923847695391,2549,553,False
WF1,lgbm_08,0.7,5,5,1.0,0.9951949753452676,0.9951949753452676,0.8,0.8,0.0,-0.003701880587267836,True,0.8958333333333334,0.177116704805492,0.8740428945520046,0.9019607843137255,0.8958333333333334,0.8493150684931506,2549,432,False
WF2,lgbm_01,0.5,71,35,0.49295774647887325,0.8964430787860926,0.9486769792650871,0.6338028169014085,0.6285714285714286,0.008253968253968343,-0.012637926409935996,False,0.7342867896123447,0.5928289273776968,0.7214586326460312,0.6853932584269663,0.7342867896123447,0.7486033519553073,4447,2657,False
WF2,lgbm_01,0.55,71,53,0.7464788732394366,0.8964430787860926,0.921366157773804,0.6338028169014085,0.6037735849056604,0.04737945492662484,-0.021431113945984848,True,0.7315470171890799,0.4396839866302036,0.7214586326460312,0.6853932584269663,0.7315470171890799,0.7468610773592548,4447,1978,False
WF2,lgbm_01,0.6,71,66,0.9295774647887324,0.8964430787860926,0.904832832128214,0.6338028169014085,0.6060606060606061,0.04377104377104381,-0.02705542256954896,True,0.7176740627390972,0.28501975083561226,0.7214586326460312,0.6853932584269663,0.7176740627390972,0.7493630573248408,4447,1307,False
WF2,lgbm_01,0.65,71,70,0.9859154929577465,0.8964430787860926,0.9023491914514264,0.6338028169014085,0.6142857142857143,0.0307936507936508,-0.027419815414083115,True,0.7030456852791879,0.16833789121847462,0.7214586326460312,0.6853932584269663,0.7030456852791879,0.7480185843126538,4447,788,False
WF2,lgbm_01,0.7,71,70,0.9859154929577465,0.8964430787860926,0.8947976847078114,0.6338028169014085,0.6,0.053333333333333434,-0.0271827420565246,True,0.6847599164926931,0.0996657550896384,0.7214586326460312,0.6853932584269663,0.6847599164926931,0.7467237903225806,4447,479,False
WF2,lgbm_02,0.5,71,56,0.7887323943661971,0.8964430787860926,0.9192139351946508,0.6338028169014085,0.625,0.013888888888888958,-0.024566552531576358,True,0.733502538071066,0.5268915223336372,0.7190296490718238,0.6449438202247191,0.733502538071066,0.7474795967354777,4447,2364,False
WF2,lgbm_02,0.55,71,66,0.9295774647887324,0.8964430787860926,0.9082698093411218,0.6338028169014085,0.6363636363636364,-0.004040404040403955,-0.03303220512601168,True,0.7166212534059946,0.31965967790945,0.7190296490718238,0.6449438202247191,0.7166212534059946,0.7515944947969118,4447,1468,False
WF2,lgbm_02,0.6,71,70,0.9859154929577465,0.8964430787860926,0.8972457919376294,0.6338028169014085,0.5857142857142857,0.0758730158730159,-0.024066597555077007,True,0.7263513513513513,0.1959890610756609,0.7190296490718238,0.6449438202247191,0.7263513513513513,0.7434672660859792,4447,888,False
WF2,lgbm_02,0.65,71,71,1.0,0.8964430787860926,0.8964430787860926,0.6338028169014085,0.6338028169014085,0.0,-0.031454699127852814,True,0.6528925619834711,0.09601944697660286,0.7190296490718238,0.6449438202247191,0.6528925619834711,0.750693918748423,4447,484,False
WF2,lgbm_02,0.7,71,71,1.0,0.8964430787860926,0.8964430787860926,0.6338028169014085,0.6338028169014085,0.0,-0.031454699127852814,True,0.6170212765957447,0.04405955636584625,0.7190296490718238,0.6449438202247191,0.6170212765957447,0.7469135802469136,4447,235,False
WF2,lgbm_03,0.5,71,48,0.676056338028169,0.8964430787860926,0.9280070703153455,0.6338028169014085,0.5833333333333334,0.07962962962962963,-0.014080461533618083,True,0.7345340642129993,0.5700395016712245,0.7204708353924703,0.6606741573033708,0.7345340642129993,0.7474907554146857,4447,2554,False
WF2,lgbm_03,0.55,71,62,0.8732394366197183,0.8964430787860926,0.9121398388413864,0.6338028169014085,0.6451612903225806,-0.01792114695340492,-0.031083144789004313,True,0.7272727272727273,0.40595563658462475,0.7204708353924703,0.6606741573033708,0.7272727272727273,0.7490421455938697,4447,1837,False
WF2,lgbm_03,0.6,71,67,0.9436619718309859,0.8964430787860926,0.9034754945944762,0.6338028169014085,0.6268656716417911,0.010945273631840812,-0.02828834714781059,True,0.71939586645469,0.2749924035247645,0.7204708353924703,0.6606741573033708,0.71939586645469,0.7481969269363437,4447,1258,False
WF2,lgbm_03,0.65,71,71,1.0,0.8964430787860926,0.8957485420872338,0.6338028169014085,0.5915492957746479,0.06666666666666675,-0.024640962579214443,True,0.7026348808030113,0.1701610452749924,0.7204708353924703,0.6606741573033708,0.7026348808030113,0.7482191780821917,4447,797,False
WF2,lgbm_03,0.7,71,71,1.0,0.8964430787860926,0.8959008012107532,0.6338028169014085,0.6197183098591549,0.022222222222222365,-0.028245134518277593,True,0.6643990929705216,0.08903068975995138,0.7204708353924703,0.6606741573033708,0.6643990929705216,0.7483774338492262,4447,441,False
WF2,lgbm_04,0.5,71,45,0.6338028169014085,0.8964430787860926,0.9320891711120652,0.6338028169014085,0.6222222222222222,0.01827160493827166,-0.019448855393374154,True,0.733815842380378,0.5545426921908234,0.7181533957335412,0.6606741573033708,0.733815842380378,0.7479591836734694,4447,2487,False
WF2,lgbm_04,0.55,71,65,0.9154929577464789,0.8964430787860926,0.9106669877693081,0.6338028169014085,0.6461538461538462,-0.019487179487179474,-0.03349743098664304,True,0.7267508610792193,0.3846855059252507,0.7181533957335412,0.6606741573033708,0.7267508610792193,0.7486136783733827,4447,1742,False
WF2,lgbm_04,0.6,71,69,0.971830985915493,0.8964430787860926,0.903724197485728,0.6338028169014085,0.6086956521739131,0.03961352657004832,-0.025913715132320103,True,0.7086546700942588,0.2512914007900334,0.7181533957335412,0.6606741573033708,0.7086546700942588,0.751219512195122,4447,1167,False
WF2,lgbm_04,0.65,71,70,0.9859154929577465,0.8964430787860926,0.8969475713718212,0.6338028169014085,0.6142857142857143,0.0307936507936508,-0.02733330667122602,True,0.6949384404924761,0.15436037678517167,0.7181533957335412,0.6606741573033708,0.6949384404924761,0.7489235737351991,4447,731,False
WF2,lgbm_04,0.7,71,71,1.0,0.8964430787860926,0.8959008012107532,0.6338028169014085,0.6197183098591549,0.022222222222222365,-0.028245134518277593,True,0.6598984771573604,0.07900334244910362,0.7181533957335412,0.6606741573033708,0.6598984771573604,0.7478411053540587,4447,394,False
WF2,lgbm_05,0.5,71,41,0.5774647887323944,0.8964430787860926,0.9394777435574917,0.6338028169014085,0.6585365853658537,-0.03902439024390241,-0.01676949018795526,False,0.7412429378531074,0.5979945305378305,0.7231743664803765,0.6561797752808989,0.7412429378531074,0.73828125,4447,2655,False
WF2,lgbm_05,0.55,71,64,0.9014084507042254,0.8964430787860926,0.9111785410709116,0.6338028169014085,0.625,0.013888888888888958,-0.03050545383789538,True,0.7365394668060637,0.4281373442722577,0.7231743664803765,0.6561797752808989,0.7365394668060637,0.7426992896606156,4447,1913,False
WF2,lgbm_05,0.6,71,67,0.9436619718309859,0.8964430787860926,0.8997975043174699,0.6338028169014085,0.6119402985074627,0.03449419568822562,-0.023692524916970936,True,0.7248157248157249,0.2689152233363719,0.7231743664803765,0.6561797752808989,0.7248157248157249,0.7458152510849348,4447,1221,False
WF2,lgbm_05,0.65,71,71,1.0,0.8964430787860926,0.8967751013670541,0.6338028169014085,0.6338028169014085,0.0,-0.03141342521561363,True,0.6893333333333334,0.15709510786994835,0.7231743664803765,0.6561797752808989,0.6893333333333334,0.7503381119826886,4447,750,False
WF2,lgbm_05,0.7,71,71,1.0,0.8964430787860926,0.8964430787860926,0.6338028169014085,0.6338028169014085,0.0,-0.031454699127852814,True,0.6550925925925926,0.08599209966575509,0.7231743664803765,0.6561797752808989,0.6550925925925926,0.7491905354919054,4447,432,False
WF2,lgbm_06,0.5,71,50,0.704225352112676,0.8964430787860926,0.9243595372814869,0.6338028169014085,0.58,0.08488888888888901,-0.020103782894110522,True,0.7384196185286104,0.5764205408690367,0.7192842574653205,0.647191011235955,0.7384196185286104,0.7422790202342918,4447,2569,False
WF2,lgbm_06,0.55,71,65,0.9154929577464789,0.8964430787860926,0.9098857146528961,0.6338028169014085,0.6461538461538462,-0.019487179487179474,-0.03235222365558155,True,0.7335886214442013,0.4074749316317229,0.7192842574653205,0.647191011235955,0.7335886214442013,0.7445589919816724,4447,1828,False
WF2,lgbm_06,0.6,71,69,0.971830985915493,0.8964430787860926,0.8984618813184091,0.6338028169014085,0.5797101449275363,0.08534621578099842,-0.020991390536034493,True,0.7185056472632494,0.2512914007900334,0.7192842574653205,0.647191011235955,0.7185056472632494,0.7475728155339806,4447,1151,True
WF2,lgbm_06,0.65,71,71,1.0,0.8964430787860926,0.8964430787860926,0.6338028169014085,0.6338028169014085,0.0,-0.031454699127852814,True,0.682615629984051,0.13005165603160135,0.7192842574653205,0.647191011235955,0.682615629984051,0.7494764397905759,4447,627,False
